isin_no,isin_desc,liq_status,security_type
INE031B01049,AJANTA PHARMA LIMITED # NEW EQUITY SHARE WITH FACE VALUE RS.2/- AFTER SUB DIVISION,0,EQ
INE022I01019,ASIAN GRANITO INDIA LIMITED - EQUITY SHARES,0,EQ
INE021A01026,ASIAN PAINTS  LIMITED # NEW EQUITY SHARES OF RE.1/- AFTER SUB DIVISION,0,EQ
INE406A01037,AUROBINDO PHARMA LIMITED-NEW EQUITY SHARES OF RE-1/- AFTER SUB-DIVISION,0,EQ
INF846K01DP8,AXIS AMC LTD#AXIS MF-AXIS BLUECHIP FUND DIRECT PLAN GROWTH,0,MF
INF846K01EH3,AXIS AMC LTD#AXIS MUTUAL FUND-AXIS MIDCAP FUND DIRECT PLAN GROWTH,0,MF
INE917I01010,BAJAJ AUTO LIMITED - EQUITY SHARES,0,EQ
INE119A01028,BALRAMPUR CHINI MILLS LTD- NEW RE 1-AFTER SPLIT,0,EQ
INE397D20024,BHARTI AIRTEL LIMITED#RIGHTS ENTITLEMENT FOR PARTLY PAID UP EQ SH OF FV RS.5/- & PAID-UP RS.1.25/-,0,DEBT
INE397D01024,BHARTI AIRTEL LIMITED - EQUITY SHARES OF RE 5/- AFTER SUB-DIVISION,0,EQ
INE216A08027,BRITANNIA INDUSTRIES LTD#5.50% USEC NGRT TAX NCUM RTD RED NCD BI-RD 03-06-2024,0,DEBT
INE216A07052,BRITANNIA INDUSTRIES LTD#8% SEC NGRT TAX CUM RTD RED NCD BI-RD 28-08-2022,0,DEBT
INF194K015G8,BANDHAN AMC LTD#BANDHAN MF-BANDHAN BANKING & PSU DEBT FUND-DIRECT PLAN-GROWTH OPTION,0,MF
INF194K01Q29,BANDHAN AMC LTD#BANDHAN MF-BANDHAN GOVERNMENT SECURITIES FUND - INVEST PL - DIR PL - GROW,0,MF
INE791I01019,BRIGADE ENTERPRISES LIMITED - EQUITY SHARES,0,EQ
INE216A01030,BRITANNIA INDUSTRIES LIMITED#NEW EQUITY SHARES FACE VALUE RE. 1/- AFTER SUB DIVISION,0,EQ
INF760K01EF0,CANARA ROBECO AMC LTD#CANARA ROBECO MF-CANARA ROBECO FLEXI CAP FUND-DIRECT PLAN GROWTH,0,MF
INF760K01JC6,CANARA ROBECO AMC LTD#CANARA ROBECO MF-CANARA ROBECO SMALL CAP FUND-DIRECT-GROWTH,0,MF
INF760K01FP6,CANARA ROBECO AMC LTD#CANARA ROBECO MF-CANARA ROBECO BLUE CHIP EQUITY FUND-DIRECT PLAN IDCW,0,MF
