ISIN,Symbol,Type,Name
INE144J01027,20MICRONS.NS,EQ,20 Microns Limited
INE253B01015,21STCENMGM.NS,EQ,21st Century Management Services Limited
INE748C01020,3IINFOTECH.NS,EQ,3i Infotech Limited
INE470A01017,3MINDIA.NS,EQ,3M India Limited
INE105C01023,3PLAND.NS,EQ,3P Land Holdings Limited
INE618L01018,5PAISA.NS,EQ,5Paisa Capital Limited
INE111B01023,63MOONS.NS,EQ,63 moons technologies limited
INE650K01021,8KMILES.NS,EQ,8K Miles Software Services Limited
INE619I01012,A2ZINFRA.NS,EQ,A2Z Infra Engineering Limited
INE087Z01016,AAKASH.NS,EQ,Aakash Exploration Services Limited
INE721Z01010,AARON.NS,EQ,Aaron Industries Limited
INE767A01016,AARTIDRUGS.NS,EQ,Aarti Drugs Limited
INE769A01020,AARTIIND.NS,EQ,Aarti Industries Limited
INE09EO01013,AARTISURF.NS,EQ,Aarti Surfactants Limited
INE273D01019,AARVEEDEN.NS,EQ,Aarvee Denims & Exports Limited
INE754X01016,AARVI.NS,EQ,Aarvi Encon Limited
INE216P01012,AAVAS.NS,EQ,Aavas Financiers Limited
INE421A01028,ABAN.NS,EQ,Aban Offshore Limited
INE117A01022,ABB.NS,EQ,ABB India Limited
INE358A01014,ABBOTINDIA.NS,EQ,Abbott India Limited
INE674K01013,ABCAPITAL.NS,EQ,Aditya Birla Capital Limited
INE647O01011,ABFRL.NS,EQ,Aditya Birla Fashion and Retail Limited
INE251C01017,ABMINTLTD.NS,EQ,ABM International Limited
INE012A01025,ACC.NS,EQ,ACC Limited
INE793A01012,ACCELYA.NS,EQ,Accelya Solutions India Limited
INE648Z01015,ACCURACY.NS,EQ,Accuracy Shipping Limited
INE731H01025,ACE.NS,EQ,Action Construction Equipment Limited
INE482D01024,ACRYSIL.NS,EQ,Acrysil Limited
INE423A01024,ADANIENT.NS,EQ,Adani Enterprises Limited
INE364U01010,ADANIGREEN.NS,EQ,Adani Green Energy Limited
INE742F01042,ADANIPORTS.NS,EQ,Adani Ports and Special Economic Zone Limited
INE814H01011,ADANIPOWER.NS,EQ,Adani Power Limited
INE931S01010,ADANITRANS.NS,EQ,Adani Transmission Limited
INE982B01019,ADFFOODS.NS,EQ,ADF Foods Limited
INE452L01012,ADHUNIKIND.NS,EQ,Adhunik Industries Limited
INE0CHO01012,ADL.NS,EQ,Archidply Decor Limited
INE045A01017,ADORWELD.NS,EQ,Ador Welding Limited
INE737B01033,ADROITINFO.NS,EQ,Adroit Infotech Limited
INE102I01027,ADSL.NS,EQ,Allied Digital Services Limited
INE199C01026,ADVANIHOTR.NS,EQ,Advani Hotels & Resorts (India) Limited
INE837H01020,ADVENZYMES.NS,EQ,Advanced Enzyme Technologies Limited
INE208C01025,AEGISCHEM.NS,EQ,Aegis Logistics Limited
INE00WC01019,AFFLE.NS,EQ,Affle (India) Limited
INE204E01012,AGARIND.NS,EQ,Agarwal Industrial Corporation Limited
INE676A01019,AGCNET.NS,EQ,AGC Networks Limited
INE449G01018,AGRITECH.NS,EQ,Agri-Tech (India) Limited
INE740V01019,AGROPHOS.NS,EQ,Agro Phos India Limited
INE926K01017,AHLEAST.NS,EQ,Asian Hotels (East) Limited
INE758C01029,AHLUCONT.NS,EQ,Ahluwalia Contracts (India) Limited
INE915K01010,AHLWEST.NS,EQ,Asian Hotels (West) Limited
INE212H01026,AIAENG.NS,EQ,AIA Engineering Limited
INE645W01026,AIRAN.NS,EQ,Airan Limited
INE031B01049,AJANTPHARM.NS,EQ,Ajanta Pharma Limited
INE298G01027,AJMERA.NS,EQ,Ajmera Realty & Infra India Limited
INE737W01013,AKASH.NS,EQ,Akash Infra-Projects Limited
INE542B01011,AKSHARCHEM.NS,EQ,AksharChem India Limited
