ISIN,Fund_Name,NAV,Date
INF209KA12Z1,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,106.3557,2025-04-23
INF209K01YM2,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,117.9568,2025-04-23
INF209K01YO8,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,105.2018,2025-04-23
INF209K01LX6,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,149.4944,2025-04-23
INF209K01LU2,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,113.8247,2025-04-23
INF209K01LN7,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,103.2171,2025-04-23
INF209K01LR8,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,113.6019,2025-04-23
INF209K01LS6,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,104.3268,2025-04-23
INF209K01LV0,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,363.9539,2025-04-23
INF209K01LT4,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,546.3437,2025-04-23
INF209K01YN0,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,377.5007,2025-04-23
INF846K01CR6,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,2691.6354,2025-04-23
INF846K01CT2,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,1050.812,2025-04-23
INF846K01CV8,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,1039.2971,2025-04-23
INF846K01CB0,Axis Banking & PSU Debt Fund - Regular Plan - Growth option,2611.6025,2025-04-23
INF846K01CF1,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,1050.5747,2025-04-23
INF846K01CD6,Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,1039.2784,2025-04-23
INF0QA701649,Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW,11.0357,2025-04-23
INF0QA701615,Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW,11.4101,2025-04-23
INF0QA701557,Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth,11.3198,2025-04-23
INF0QA701565,Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW,11.3198,2025-04-23
INF0QA701607,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,11.4101,2025-04-23
INF0QA701599,Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW,10.9657,2025-04-23
INF194K019M8,BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW,12.1907,2025-04-23
INF194K015G8,BANDHAN Banking & PSU Debt Fund - Direct Growth,25.0862,2025-04-23
INF194K016G6,BANDHAN Banking & PSU Debt Fund - Direct IDCW,13.1961,2025-04-23
INF194K018M0,BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW,11.039,2025-04-23
INF194K015M6,BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW,11.2344,2025-04-23
